,Year,Month,Avr.ID,Avrakning,Medlemsnummer,Avr.Omr,Avrakningsomrade,Verknummer, ,Typ av framforande inom avrakningsomradet,Land,Roll,Andel%,Belopp,Avtalsnummer,Avtalsnamn,Filmnummer,Filmtitel,Episodtitel,Rattighet,Antal Spelningar
33,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B1010,P1,SVERIGE,CA,"11,12",28.16,,,,,,PR,
34,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B1020,P2 ÖVRIGT (ALLT UTOM LIVE),SVERIGE,CA,"11,12",0.17,,,,,,PR,
35,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B1030,P3,SVERIGE,CA,"11,12",121.21,,,,,,PR,
36,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B1040,P4,SVERIGE,CA,"11,12",57.49,,,,,,PR,
37,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B1041,P4 LOKAL,SVERIGE,CA,"11,12",286.83,,,,,,PR,
38,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B203,TV3,SVERIGE,CA,"11,12",0.27,,,846363.0,LYXFÄLLAN,1901,PR,
39,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B203,TV3,SVERIGE,CA,"11,12",0.18,,,863710.0,PARNEVIKS,,PR,
40,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B204,TV4,SVERIGE,CA,"11,12",6.54,,,904616.0,IDOL 2017,,PR,
41,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B206,KANAL 5,SVERIGE,CA,"11,12",0.28,,,874381.0,ETT JOBB FÖR BERG,,PR,
42,2018,June,1197,Juniutbetalning 2018,5033743,9,Bakgrundsmusik utan rapport,27208757,B206,KANAL 5,SVERIGE,CA,"11,12",0.64,,,874383.0,ETT JOBB FÖR BERG,,PR,
